Fecha,Precipitacion
01/01/43,NA
02/01/43,NA
03/01/43,NA
04/01/43,NA
05/01/43,NA
06/01/43,NA
07/01/43,NA
08/01/43,NA
09/01/43,NA
10/01/43,NA
11/01/43,NA
12/01/43,NA
13/01/43,NA
14/01/43,NA
15/01/43,NA
16/01/43,NA
17/01/43,NA
18/01/43,NA
19/01/43,NA
20/01/43,NA
21/01/43,NA
22/01/43,NA
23/01/43,NA
24/01/43,NA
25/01/43,NA
26/01/43,NA
27/01/43,NA
28/01/43,NA
29/01/43,NA
30/01/43,NA
31/01/43,NA
01/02/43,NA
02/02/43,NA
03/02/43,NA
04/02/43,NA
05/02/43,NA
06/02/43,NA
07/02/43,NA
08/02/43,NA
09/02/43,NA
10/02/43,NA
11/02/43,NA
12/02/43,NA
13/02/43,NA
14/02/43,NA
15/02/43,NA
16/02/43,NA
17/02/43,NA
18/02/43,NA
19/02/43,NA
20/02/43,NA
21/02/43,NA
22/02/43,NA
23/02/43,NA
24/02/43,NA
25/02/43,NA
26/02/43,NA
27/02/43,NA
28/02/43,NA
01/03/43,NA
02/03/43,NA
03/03/43,NA
04/03/43,NA
05/03/43,NA
06/03/43,NA
07/03/43,NA
08/03/43,NA
09/03/43,NA
10/03/43,NA
11/03/43,NA
12/03/43,NA
13/03/43,NA
14/03/43,NA
15/03/43,NA
16/03/43,NA
17/03/43,NA
18/03/43,NA
19/03/43,NA
20/03/43,NA
21/03/43,NA
22/03/43,NA
23/03/43,NA
24/03/43,NA
25/03/43,NA
26/03/43,NA
27/03/43,NA
28/03/43,NA
29/03/43,NA
30/03/43,NA
31/03/43,NA
01/04/43,NA
02/04/43,NA
03/04/43,NA
04/04/43,NA
05/04/43,NA
06/04/43,NA
07/04/43,NA
08/04/43,NA
09/04/43,NA
10/04/43,NA
11/04/43,NA
12/04/43,NA
13/04/43,NA
14/04/43,NA
15/04/43,NA
16/04/43,NA
17/04/43,NA
18/04/43,NA
19/04/43,NA
20/04/43,NA
21/04/43,NA
22/04/43,NA
23/04/43,NA
24/04/43,NA
25/04/43,NA
26/04/43,NA
27/04/43,NA
28/04/43,NA
29/04/43,NA
30/04/43,NA
01/05/43,NA
02/05/43,NA
03/05/43,NA
04/05/43,NA
05/05/43,NA
06/05/43,NA
07/05/43,NA
08/05/43,NA
09/05/43,NA
10/05/43,NA
11/05/43,NA
12/05/43,NA
13/05/43,NA
14/05/43,NA
15/05/43,NA
16/05/43,NA
17/05/43,NA
18/05/43,NA
19/05/43,NA
20/05/43,NA
21/05/43,NA
22/05/43,NA
23/05/43,NA
24/05/43,NA
25/05/43,NA
26/05/43,NA
27/05/43,NA
28/05/43,NA
29/05/43,NA
30/05/43,NA
31/05/43,NA
01/06/43,NA
02/06/43,NA
03/06/43,NA
04/06/43,NA
05/06/43,NA
06/06/43,NA
07/06/43,NA
08/06/43,NA
09/06/43,NA
10/06/43,NA
11/06/43,NA
12/06/43,NA
13/06/43,NA
14/06/43,NA
15/06/43,NA
16/06/43,NA
17/06/43,NA
18/06/43,NA
19/06/43,NA
20/06/43,NA
21/06/43,NA
22/06/43,NA
23/06/43,NA
24/06/43,NA
25/06/43,NA
26/06/43,NA
27/06/43,NA
28/06/43,NA
29/06/43,NA
