Fecha,Precipitacion
01/01/42,NA
02/01/42,NA
03/01/42,NA
04/01/42,NA
05/01/42,NA
06/01/42,NA
07/01/42,NA
08/01/42,NA
09/01/42,NA
10/01/42,NA
11/01/42,NA
12/01/42,NA
13/01/42,NA
14/01/42,NA
15/01/42,NA
16/01/42,NA
17/01/42,NA
18/01/42,NA
19/01/42,NA
20/01/42,NA
21/01/42,NA
22/01/42,NA
23/01/42,NA
24/01/42,NA
25/01/42,NA
26/01/42,NA
27/01/42,NA
28/01/42,NA
29/01/42,NA
30/01/42,NA
31/01/42,NA
01/02/42,NA
02/02/42,NA
03/02/42,NA
04/02/42,NA
05/02/42,NA
06/02/42,NA
07/02/42,NA
08/02/42,NA
09/02/42,NA
10/02/42,NA
11/02/42,NA
12/02/42,NA
13/02/42,NA
14/02/42,NA
15/02/42,NA
16/02/42,NA
17/02/42,NA
18/02/42,NA
19/02/42,NA
20/02/42,NA
21/02/42,NA
22/02/42,NA
23/02/42,NA
24/02/42,NA
25/02/42,NA
26/02/42,NA
27/02/42,NA
28/02/42,NA
01/03/42,NA
02/03/42,NA
03/03/42,NA
04/03/42,NA
05/03/42,NA
06/03/42,NA
07/03/42,NA
08/03/42,NA
09/03/42,NA
10/03/42,NA
11/03/42,NA
12/03/42,NA
13/03/42,NA
14/03/42,NA
15/03/42,NA
16/03/42,NA
17/03/42,NA
18/03/42,NA
19/03/42,NA
20/03/42,NA
21/03/42,NA
22/03/42,NA
23/03/42,NA
24/03/42,NA
25/03/42,NA
26/03/42,NA
27/03/42,NA
28/03/42,NA
29/03/42,NA
30/03/42,NA
31/03/42,NA
01/04/42,NA
02/04/42,NA
03/04/42,NA
04/04/42,NA
05/04/42,NA
06/04/42,NA
07/04/42,NA
08/04/42,NA
09/04/42,NA
10/04/42,NA
11/04/42,NA
12/04/42,NA
13/04/42,NA
14/04/42,NA
15/04/42,NA
16/04/42,NA
17/04/42,NA
18/04/42,NA
19/04/42,NA
20/04/42,NA
21/04/42,NA
22/04/42,NA
23/04/42,NA
24/04/42,NA
25/04/42,NA
26/04/42,NA
27/04/42,NA
28/04/42,NA
29/04/42,NA
30/04/42,NA
01/05/42,NA
02/05/42,NA
03/05/42,NA
04/05/42,NA
05/05/42,NA
06/05/42,NA
07/05/42,NA
08/05/42,NA
09/05/42,NA
10/05/42,NA
11/05/42,NA
12/05/42,NA
13/05/42,NA
14/05/42,NA
15/05/42,NA
16/05/42,NA
17/05/42,NA
18/05/42,NA
19/05/42,NA
20/05/42,NA
21/05/42,NA
22/05/42,NA
23/05/42,NA
24/05/42,NA
25/05/42,NA
26/05/42,NA
27/05/42,NA
28/05/42,NA
29/05/42,NA
30/05/42,NA
31/05/42,NA
01/06/42,NA
