Fecha,Precipitacion
01/01/66,NA
02/01/66,NA
03/01/66,NA
04/01/66,NA
05/01/66,NA
06/01/66,NA
07/01/66,NA
08/01/66,NA
09/01/66,NA
10/01/66,NA
11/01/66,NA
12/01/66,NA
13/01/66,NA
14/01/66,NA
15/01/66,NA
16/01/66,NA
17/01/66,NA
18/01/66,NA
19/01/66,NA
20/01/66,NA
21/01/66,NA
22/01/66,NA
23/01/66,NA
24/01/66,NA
25/01/66,NA
26/01/66,NA
27/01/66,NA
28/01/66,NA
29/01/66,NA
30/01/66,NA
31/01/66,NA
01/02/66,NA
02/02/66,NA
03/02/66,NA
04/02/66,NA
05/02/66,NA
06/02/66,NA
07/02/66,NA
08/02/66,NA
09/02/66,NA
10/02/66,NA
11/02/66,NA
12/02/66,NA
13/02/66,NA
14/02/66,NA
15/02/66,NA
16/02/66,NA
17/02/66,NA
18/02/66,NA
19/02/66,NA
20/02/66,NA
21/02/66,NA
22/02/66,NA
23/02/66,NA
24/02/66,NA
25/02/66,NA
26/02/66,NA
27/02/66,NA
28/02/66,NA
01/03/66,NA
02/03/66,NA
03/03/66,NA
04/03/66,NA
05/03/66,NA
06/03/66,NA
07/03/66,NA
08/03/66,NA
09/03/66,NA
10/03/66,NA
11/03/66,NA
12/03/66,NA
13/03/66,NA
14/03/66,NA
15/03/66,NA
16/03/66,NA
17/03/66,NA
18/03/66,NA
19/03/66,NA
20/03/66,NA
21/03/66,NA
22/03/66,NA
23/03/66,NA
24/03/66,NA
25/03/66,NA
26/03/66,NA
27/03/66,NA
28/03/66,NA
29/03/66,NA
30/03/66,NA
31/03/66,NA
01/04/66,NA
02/04/66,NA
03/04/66,NA
04/04/66,NA
05/04/66,NA
06/04/66,NA
07/04/66,NA
08/04/66,NA
09/04/66,NA
10/04/66,NA
11/04/66,NA
12/04/66,NA
13/04/66,NA
14/04/66,NA
15/04/66,NA
16/04/66,NA
17/04/66,NA
18/04/66,NA
19/04/66,NA
20/04/66,NA
21/04/66,NA
22/04/66,NA
23/04/66,NA
24/04/66,NA
25/04/66,NA
26/04/66,NA
27/04/66,NA
28/04/66,NA
29/04/66,NA
30/04/66,NA
01/05/66,NA
02/05/66,NA
03/05/66,NA
04/05/66,NA
05/05/66,NA
06/05/66,NA
07/05/66,NA
08/05/66,NA
09/05/66,NA
10/05/66,NA
11/05/66,NA
12/05/66,NA
13/05/66,NA
14/05/66,NA
15/05/66,NA
16/05/66,NA
17/05/66,NA
18/05/66,NA
19/05/66,NA
20/05/66,NA
21/05/66,NA
22/05/66,NA
23/05/66,NA
24/05/66,NA
25/05/66,NA
26/05/66,NA
27/05/66,NA
28/05/66,NA
29/05/66,NA
30/05/66,NA
31/05/66,NA
01/06/66,NA
02/06/66,NA
03/06/66,NA
04/06/66,NA
05/06/66,NA
06/06/66,NA
07/06/66,NA
08/06/66,NA
09/06/66,NA
10/06/66,NA
11/06/66,NA
12/06/66,NA
13/06/66,NA
14/06/66,NA
15/06/66,NA
16/06/66,NA
17/06/66,NA
18/06/66,NA
19/06/66,NA
20/06/66,NA
21/06/66,NA
22/06/66,NA
23/06/66,NA
24/06/66,NA
25/06/66,NA
26/06/66,NA
27/06/66,NA
28/06/66,NA
29/06/66,NA
30/06/66,NA
01/07/66,NA
02/07/66,NA
03/07/66,NA
04/07/66,NA
05/07/66,NA
06/07/66,NA
07/07/66,NA
08/07/66,NA
09/07/66,NA
10/07/66,NA
11/07/66,NA
12/07/66,NA
13/07/66,NA
14/07/66,NA
15/07/66,NA
16/07/66,NA
17/07/66,NA
18/07/66,NA
19/07/66,NA
20/07/66,NA
21/07/66,NA
22/07/66,NA
23/07/66,NA
24/07/66,NA
25/07/66,NA
26/07/66,NA
27/07/66,NA
28/07/66,NA
29/07/66,NA
30/07/66,NA
31/07/66,NA
01/08/66,0
02/08/66,0
03/08/66,8.3
04/08/66,0
05/08/66,0
06/08/66,3.4
07/08/66,0
08/08/66,1.1
09/08/66,10.5
10/08/66,0
11/08/66,0
12/08/66,7.6
13/08/66,10.3
14/08/66,0
15/08/66,0
16/08/66,0
17/08/66,0
18/08/66,0
19/08/66,8.3
20/08/66,0
21/08/66,9.2
22/08/66,0
23/08/66,23.5
24/08/66,9.7
25/08/66,0
26/08/66,0
27/08/66,4
28/08/66,0
29/08/66,0
30/08/66,0
31/08/66,0
01/09/66,0
02/09/66,0
03/09/66,0
04/09/66,1
05/09/66,0
06/09/66,1.2
07/09/66,2.3
08/09/66,3
09/09/66,0
10/09/66,0
11/09/66,0
12/09/66,4
13/09/66,0
14/09/66,0
15/09/66,0
16/09/66,0
17/09/66,29.1
18/09/66,26.6
19/09/66,2.4
20/09/66,1
21/09/66,1.5
22/09/66,0
23/09/66,0
24/09/66,8
25/09/66,0
26/09/66,0
27/09/66,0
28/09/66,0
29/09/66,0
30/09/66,0
01/10/66,0
02/10/66,0
03/10/66,0
04/10/66,0
05/10/66,0
06/10/66,0
07/10/66,0
08/10/66,0
09/10/66,0
10/10/66,0
11/10/66,0.5
12/10/66,0
13/10/66,0
14/10/66,58
15/10/66,0
16/10/66,0
17/10/66,0
18/10/66,0.5
19/10/66,0
20/10/66,4
21/10/66,0
22/10/66,0
23/10/66,0
24/10/66,15
25/10/66,0
26/10/66,0
27/10/66,0.5
28/10/66,1
29/10/66,0
30/10/66,0
31/10/66,0
01/11/66,0
02/11/66,0
03/11/66,0
04/11/66,0
05/11/66,0
06/11/66,0
07/11/66,0
08/11/66,0
09/11/66,0
10/11/66,0
11/11/66,0
12/11/66,0
13/11/66,0
14/11/66,0
15/11/66,0
16/11/66,0
17/11/66,0
18/11/66,0
19/11/66,0
20/11/66,0
21/11/66,0
22/11/66,0
23/11/66,0
24/11/66,0
25/11/66,0
26/11/66,0
27/11/66,0
28/11/66,0
29/11/66,0
30/11/66,0
01/12/66,0
02/12/66,0
03/12/66,0
04/12/66,0
05/12/66,0
06/12/66,0
07/12/66,0
08/12/66,0
09/12/66,0
10/12/66,0
11/12/66,0
12/12/66,0
13/12/66,0
14/12/66,0
15/12/66,0
16/12/66,4.4
17/12/66,0
18/12/66,0
19/12/66,0
20/12/66,0
21/12/66,0
22/12/66,0
23/12/66,0
24/12/66,0
25/12/66,0
26/12/66,0
27/12/66,0
28/12/66,0
29/12/66,0
30/12/66,0
31/12/66,0
01/01/67,0
02/01/67,0
03/01/67,0
04/01/67,0
05/01/67,0
06/01/67,0
07/01/67,0
08/01/67,0
09/01/67,1.5
10/01/67,32
11/01/67,5
12/01/67,0
13/01/67,0
14/01/67,0
15/01/67,0
16/01/67,0
17/01/67,0
18/01/67,0
19/01/67,0
20/01/67,0
21/01/67,0
22/01/67,0
23/01/67,0
24/01/67,0
25/01/67,0
26/01/67,0
27/01/67,0
28/01/67,0
29/01/67,0
30/01/67,0
31/01/67,0
01/02/67,0.5
02/02/67,0
03/02/67,0
04/02/67,0
05/02/67,0
